Unnamed: 0,recipe_name,prep_time,cook_time,total_time,ingredients,directions,rating,cuisine_path,nutrition,img_src
212,Pear Sour Cream Pie,25 mins,45 mins,3 hrs 10 mins,"1 (9 inch) pie crust pastry, ½ cup white sugar, 1 cup sour cream, ¼ cup all-purpose flour, 1  egg, beaten, 1 teaspoon vanilla extract, ¼ teaspoon salt, 4 large pears - peeled, cored and sliced","Preheat an oven to 350 degrees F (175 degrees C). Roll out the pastry and transfer it to a 9-inch pie plate. Trim any extra dough and crimp the edge.
Combine 1/2 cup sugar, sour cream, 1/4 cup flour, egg, vanilla, and salt in a bowl until blended. Fold in the pears. Pour the mixture into the pie plate and bake the pie for 15 minutes.
While the pie is baking, prepare the topping: mix the 2/3 cup flour, 1/3 cup sugar, melted butter, and rolled oats together in a bowl.
Remove the pie from the oven and sprinkle with the crumble topping. Return the pie to the oven and bake until the filling is set and the crust is brown, about 20 minutes more. Allow to cool and set before serving.",4.6,/Desserts/Pies/Fruit Pies/Pear Pie Recipes/,"Total Fat 29g 38%, Saturated Fat 14g 70%, Cholesterol 73mg 24%, Sodium 355mg 15%, Total Carbohydrate 86g 31%, Dietary Fiber 7g 24%, Total Sugars 42g, Protein 8g, Vitamin C 6mg 31%, Calcium 75mg 6%, Iron 3mg 14%, Potassium 309mg 7%",https://www.allrecipes.com/thmb/630oLLt8S74uTRqQR3YAJXXnYFk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3984976-a0542be6eeca47eaae39dab483236de1.jpg
213,Sour Cream Pear Pie,15 mins,55 mins,1 hrs 10 mins,"¾ cup sugar, 1 tablespoon all-purpose flour, ¼ teaspoon ground cinnamon, 1 pinch salt, 1  egg, beaten, 1 cup sour cream, 2 (15 ounce) cans pears, drained and chopped, 1 (9 inch) graham cracker crust, ½ cup sugar, ⅔ cup butter, ⅔ cup all-purpose flour","Preheat the oven to 350 degrees F (175 degrees C).
In a medium bowl, stir together 3/4 cup sugar, 1 tablespoon flour, cinnamon and salt. Mix in the egg and sour cream until smooth. Add pears, and stir gently until coated. Pour the mixture into a graham cracker crust.
Bake for 25 minutes in the preheated oven. While the pie is baking, make the topping in a medium bowl. Stir together the sugar and flour. Cut in butter until the mixture resembles coarse crumbs. Sprinkle topping over the pie.
Bake for an additional 30 minutes. Cool completely before serving.









",4.5,/Desserts/Pies/Fruit Pies/Pear Pie Recipes/,"Total Fat 30g 38%, Saturated Fat 15g 76%, Cholesterol 77mg 26%, Sodium 327mg 14%, Total Carbohydrate 74g 27%, Dietary Fiber 3g 9%, Total Sugars 53g, Protein 5g, Vitamin C 2mg 10%, Calcium 60mg 5%, Iron 2mg 9%, Potassium 195mg 4%",https://www.allrecipes.com/thmb/PkltlR4goR6gwVyWpW5H67Wingc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7226866-a783ef8cf13a42acb1298e2b70558dd7.jpg
214,Pear Pie III,15 mins,1 hrs,1 hrs 15 mins,"1 (9 inch) unbaked pie crust, 2  pears - peeled, cored and cut in half, 1 cup white sugar, ¼ cup butter, ¼ cup all-purpose flour, 1 tablespoon vanilla extract, 2  eggs, beaten","Preheat the oven to 350 degrees F (175 degrees C).
Press the pie pastry into the bottom and up the sides of a 9 inch pie plate. Flute the edges. Place the pear halves cut side down in the pie crust with the small ends toward the center.
In a medium bowl, mix the butter and sugar together until smooth, then beat in the eggs one at a time until light and fluffy. Stir in flour and vanilla. Pour over the top of the pears.
Bake for 1 hour in the preheated oven, until pears are soft and custard is set in the center. Cool completely before slicing and serving.",4.5,/Desserts/Pies/Fruit Pies/Pear Pie Recipes/,"Total Fat 15g 19%, Saturated Fat 6g 30%, Cholesterol 62mg 21%, Sodium 176mg 8%, Total Carbohydrate 47g 17%, Dietary Fiber 3g 9%, Total Sugars 31g, Protein 4g, Vitamin C 2mg 11%, Calcium 16mg 1%, Iron 1mg 6%, Potassium 102mg 2%",https://www.allrecipes.com/thmb/-c2XqtAA0z3fPJUzsVGe6y59DFU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5791553-0dcee488a39a4a6792f360767bee837e.jpg
215,Rustic Autumn Fruit Tart,15 mins,30 mins,1 hrs 45 mins,"½ cup butter, chilled, ½ cup cream cheese, 1 ½ cups all-purpose flour, 2  apples - peeled, cored, and thinly sliced, 1  pear - peeled, cored and sliced, ¼ cup orange juice, ⅓ cup brown sugar, ½ teaspoon ground cinnamon, ¼ teaspoon ground nutmeg, ¼ teaspoon ground cardamom, 1 ½ tablespoons cornstarch, ½ cup apricot jam, warmed","Cut the cold butter and cream cheese into the flour with a knife or pastry blender until the mixture resembles coarse crumbs. (This can also be done in a food processor: pulse the cold butter into the flour until the mixture resembles cornmeal; add the cream cheese and pulse until it's the size of small peas.) When you squeeze a handful of the mixture, it should form a ball. Shape the dough into a round disk, wrap it in plastic, and refrigerate for at least 1 hour.
Toss the sliced apples and pear with the orange juice. Whisk together the brown sugar, cinnamon, nutmeg, cardamom, and cornstarch. Toss the fruit with the sugar-spice mixture and set aside.
Preheat an oven to 375 degrees F (190 degrees C). Set out an 8-inch tart pan, or, if you'll be making a free-form tart (galette), lightly grease a baking sheet.
Roll the pastry out on a lightly floured work surface to form a 10-inch circle. Transfer the dough to the tart pan or baking sheet. Arrange the fruit decoratively in the tart pastry. If you're baking the tart on a baking sheet, leave a 2-inch rim of dough and fold it up over the edge of the fruit (the pastry folds will overlap).
Bake the tart in the preheated oven until the crust is browned and the filling is bubbly, about 30 minutes. Remove the tart from the oven and brush it with the apricot jam.",4.3,/Desserts/Pies/Tarts/Fruit Tart Recipes/,"Total Fat 17g 22%, Saturated Fat 11g 53%, Cholesterol 47mg 16%, Sodium 137mg 6%, Total Carbohydrate 51g 18%, Dietary Fiber 2g 8%, Total Sugars 24g, Protein 4g, Vitamin C 8mg 41%, Calcium 37mg 3%, Iron 2mg 9%, Potassium 152mg 3%",https://www.allrecipes.com/thmb/YobgWn4WpEi7WcirYVcfezX5ht8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1443473-d4a2ae76ef574b10851b04b014823843.jpg
216,Cheddar Pear Pie,20 mins,45 mins,1 hrs 5 mins,"½ cup all-purpose flour, ½ cup brown sugar, ½ cup shredded Cheddar cheese, ¼ cup butter","Preheat the oven to 400 degrees F (200 degrees C).
Combine the flour, 1/2 cup brown sugar, and Cheddar cheese. Cut in the butter until the mixture resembles coarse crumbs.
Toss the sliced pears with the lemon juice. Combine the 1/2 cup brown sugar, cornstarch, and cinnamon in a separate bowl. Add the sugar mixture to the pears and toss to coat.
Transfer the pears to the pie crust and top with the crumble mixture. Bake in the preheated oven until the top is golden brown, about 45 minutes.",4.7,/Desserts/Pies/Vintage Pie Recipes/,"Total Fat 21g 27%, Saturated Fat 9g 47%, Cholesterol 30mg 10%, Sodium 281mg 12%, Total Carbohydrate 87g 32%, Dietary Fiber 7g 24%, Total Sugars 52g, Protein 6g, Vitamin C 8mg 41%, Calcium 123mg 9%, Iron 2mg 11%, Potassium 291mg 6%",https://www.allrecipes.com/thmb/pbBYeErgvZq227MquoW3h3YeKU8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4002821-12cf8e65840a408594f3695f63449aa4.jpg
217,Hasselback Pear Tart,20 mins,35 mins,1 hrs 15 mins,"1 sheet frozen puff pastry - thawed, unfolded, and lightly rolled, 2  Bartlett pears, halved and cored, 2  d'Anjou pears, halved and cored, 1  red pear, halved and cored, 2 tablespoons white sugar, ½  lemon, juiced, ½ (8 ounce) package cream cheese, softened, ½ cup confectioners' sugar, ½ teaspoon vanilla extract, 1 tablespoon turbinado sugar","Preheat oven to 400 degrees F (200 degrees C). Fit puff pastry into a 10-inch square tart pan with removable sides.
Place a pear half, cut-side down, onto a work surface. Place a chopstick above and below the pear half, so the pear is framed on the top and bottom. Thinly slice the pear half lengthwise, stopping when the knife hits the chopstick and leaving the bottom 1/4 inch of the pear intact. Repeat with the remaining pear halves.
Place hasselbacked pears in a bowl; add white sugar and lemon juice and gently toss to coat. Let hasselbacked pears stand for 5 minutes.
Mix cream cheese, confectioners' sugar, and vanilla extract together in a bowl; spread over puff pastry. Arrange hasselbacked pears over cream cheese layer, cutting some of the halves into quarters if needed to fit them in. Slightly fan out each pear and drizzle any accumulated juices from the pear bowl over pears. Sprinkle turbinado sugar over tart.
Bake in the preheated oven until crust is puffed and lightly browned and juices are bubbling, about 35 minutes. Cool tart for 15 minutes before slicing.",4.6,/Desserts/Pies/Tarts/Fruit Tart Recipes/,"Total Fat 17g 21%, Saturated Fat 6g 30%, Cholesterol 15mg 5%, Sodium 118mg 5%, Total Carbohydrate 43g 16%, Dietary Fiber 4g 14%, Total Sugars 23g, Protein 4g, Vitamin C 10mg 49%, Calcium 29mg 2%, Iron 1mg 7%, Potassium 175mg 4%",https://www.allrecipes.com/thmb/ftrWYczkvsBmlJAirUZ-6RzHSG4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4059860-05ea871c1a9149868457d90bc9e2d487.jpg
218,Scandinavian Pear Tart,25 mins,25 mins,3 hrs 50 mins,"  cooking spray, ½ cup white sugar, 3 tablespoons butter, softened, ¾ cup all-purpose flour, ⅓ cup finely chopped almonds","Preheat the oven to 425 degrees F (220 degrees C). Coat a 9-inch fluted tart pan with a removable bottom with cooking spray.
Beat sugar and butter together in a small bowl until crumbly. Beat in flour and almonds. Press over the bottom and up the sides of the prepared tart pan.
Beat cream cheese in another small bowl until smooth. Beat in sugar, egg, and vanilla extract. Spread over the crust. Arrange pear slices over the cream cheese layer.
Combine sugar, cardamom, and cinnamon in a small bowl. Sprinkle over the pears.
Bake in the preheated oven for 10 minutes. Reduce oven temperature to 350 degrees F (175 degrees C). Continue baking until filling is set and an instant-read thermometer inserted into the center reads 160 degrees F (71 degrees C), 15 to 20 minutes.
Cool tart on a wire rack for 1 hour. Refrigerate for at least 2 hours before slicing.",5,/Desserts/Pies/Tarts/Fruit Tart Recipes/,"Total Fat 17g 22%, Saturated Fat 9g 46%, Cholesterol 63mg 21%, Sodium 124mg 5%, Total Carbohydrate 38g 14%, Dietary Fiber 2g 6%, Total Sugars 26g, Protein 5g, Vitamin C 1mg 5%, Calcium 45mg 3%, Iron 1mg 7%, Potassium 137mg 3%",https://www.allrecipes.com/thmb/jAN3oDk35AlEvxawtyqAR0azl8k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7282942-aa6d9a57b7f64863985903e48ed74f83.jpg
219,Maple-Pear Tarte Tatin,15 mins,30 mins,50 mins,"½ (17.3 ounce) package frozen puff pastry, thawed, ¼ cup butter, ⅓ cup brown sugar, ¼ teaspoon ground cinnamon, 1 pinch ground nutmeg, ¼ cup maple syrup, 4  firm pears - peeled, cored, and halved, or more as needed","Preheat oven to 375 degrees F (190 degrees C).
Roll puff pastry out on a lightly floured surface to 1/4-inch thickness; place in the refrigerator.
Melt butter in a 9-inch cast iron skillet over medium heat; stir in brown sugar, cinnamon, and nutmeg and cook and stir until sugar dissolves, about 5 minutes. Stir maple syrup into brown sugar mixture; cook, stirring, until mixture begins to bubble. Remove skillet from heat.
Place one pear half, cut side up, into the center of skillet. Cut remaining pear halves in half again; arrange pear quarters around the center pear, cut sides up.
Place skillet over medium-low heat; cook pears, basting with syrup mixture, until they begin to soften, about 5 minutes. Remove skillet from heat.
Remove puff pastry from refrigerator; place pastry over pears, tucking edges of pastry around pears inside skillet.
Bake in the preheated oven until pastry is puffed and golden, about 20 minutes; allow to cool for 5 minutes. Place a serving plate over skillet; invert to remove tart (skillet will still be hot). Serve warm.",4.4,/Desserts/Pies/Tarts/Fruit Tart Recipes/,"Total Fat 18g 23%, Saturated Fat 7g 33%, Cholesterol 15mg 5%, Sodium 122mg 5%, Total Carbohydrate 42g 15%, Dietary Fiber 3g 11%, Total Sugars 23g, Protein 3g, Vitamin C 4mg 18%, Calcium 27mg 2%, Iron 1mg 6%, Potassium 152mg 3%",https://www.allrecipes.com/thmb/kkhpD7E2QoJZCXCd4H_XhE1wPwU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2757284-c08ee9afe5d249b4a6301a0c8ea5b02e.jpg
220,Bartlett Pear Pie,20 mins,30 mins,1 hrs 50 mins,"1 (9 inch) pie crust pastry, ½ cup unsalted butter, softened, ½ cup white sugar, ¼ cup brown sugar, 1 ½ tablespoons all-purpose flour, 1 teaspoon ground nutmeg, ½ teaspoon ground allspice, ¼ teaspoon salt, 1 pinch ground cinnamon, 2  eggs, 5  Bartlett pears, peeled and chopped","Preheat oven to 375 degrees F (190 degrees C). Press pie crust pastry into a 9-inch pie dish and refrigerate while preparing filling.
Beat butter, white sugar, brown sugar, flour, nutmeg, allspice, salt, and cinnamon together in a bowl using an electric mixer until smooth. Beat eggs, 1 at a time, into butter mixture until incorporated; fold in pears. Pour filling into chilled crust.
Bake in the preheated oven until filling is set in the middle, 30 to 35 minutes. Cool completely before serving, about 1 hour.",3.3,/Desserts/Pies/Fruit Pies/Pear Pie Recipes/,"Total Fat 21g 26%, Saturated Fat 10g 48%, Cholesterol 77mg 26%, Sodium 212mg 9%, Total Carbohydrate 47g 17%, Dietary Fiber 5g 16%, Total Sugars 30g, Protein 4g, Vitamin C 4mg 22%, Calcium 33mg 3%, Iron 1mg 7%, Potassium 176mg 4%",https://www.allrecipes.com/thmb/TId2TwLzWsk9mLSb0gDtbmaRqtg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4483642-098a70f2451b46ee839a7d5e2bf8ed86.jpg
221,French Pear Pie,45 mins,45 mins,1 hrs 30 mins,"6 large pears, peeled and sliced, 1  lemon, juiced, ⅔ cup white sugar, ½ teaspoon grated nutmeg, 1 (9 inch) unbaked single pie crust, ½ cup butter, ½ cup brown sugar, 1 cup all-purpose flour","Preheat oven to 450 degrees F (230 degrees C).
Sprinkle pears with lemon juice in a bowl. Mix white sugar and nutmeg in a separate small bowl; sprinkle over pears and mix thoroughly.
Fit pie crust into the bottom of a 9-inch pie dish. Cut butter, brown sugar, and flour together in a bowl using a pastry cutter until mixture resembles crumbs. Spoon pear mixture into pie shell and sprinkle top with brown sugar mixture.
Bake in the preheated oven for 10 minutes. Reduce oven temperature to 350 degrees F (175 degrees C) and bake until filling is bubbling and crumble topping is lightly browned, about 35 more minutes.",4.8,/Cuisine/European/French/,"Total Fat 19g 25%, Saturated Fat 9g 46%, Cholesterol 31mg 10%, Sodium 203mg 9%, Total Carbohydrate 73g 26%, Dietary Fiber 6g 22%, Total Sugars 41g, Protein 4g, Vitamin C 9mg 46%, Calcium 31mg 2%, Iron 2mg 9%, Potassium 241mg 5%",https://www.allrecipes.com/thmb/7cDpBOTj-cnnS2P7uBg3oZHOBFk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1163180-1bccc39e9cd742b4a340b74b3447327f.jpg
222,Autumn Spiced Apple and Pear Hand Pies,1 hrs,30 mins,1 hrs 50 mins,"1 large Pink Lady apple - peeled, cored and diced, 1 large Bartlett pear - peeled, cored and diced, ¼ cup brown sugar, 1 tablespoon vanilla extract, 2 teaspoons cornstarch, 1 teaspoon ground cinnamon, ½ teaspoon ground nutmeg, ¼ teaspoon ground cloves, 1 pinch salt, 1  egg, 1 tablespoon water, 1 recipe pastry for a 9-inch double crust pie, 2 tablespoons coarse granulated sugar, or as needed (Optional), ½ cup dark chocolate chips (Optional)","Preheat oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper.
Stir apple, pear, brown sugar, vanilla extract, cornstarch, cinnamon, nutmeg, cloves, and salt together in a bowl. Whisk egg and water together in a small bowl.
Roll pastry out on a lightly floured surface; cut into circles with a 3- to 4-inch round cookie cutter. Spoon a small amount of apple mixture onto center of each pastry circle; fold circles in half and press firmly to seal edges. Crimp with a fork, if desired. Place pies on prepared baking sheet.
Cut 3 small slits in top of each hand pie with a sharp knife. Brush surface of pies with egg mixture; sprinkle with decorating sugar.
Bake in the preheated oven until lightly golden, about 25 minutes; allow pies to cool to room temperature, about 20 minutes.
Melt chocolate chips in a microwave-safe glass or ceramic bowl in 15-second intervals, stirring after each melting, 1 to 2 minutes. Drizzle melted chocolate over pies.",4,/Desserts/Pies/Fruit Pies/Pear Pie Recipes/,"Total Fat 6g 7%, Saturated Fat 2g 10%, Cholesterol 12mg 4%, Sodium 75mg 3%, Total Carbohydrate 18g 7%, Dietary Fiber 1g 5%, Total Sugars 8g, Protein 2g, Vitamin C 1mg 6%, Calcium 11mg 1%, Iron 1mg 3%, Potassium 64mg 1%",https://www.allrecipes.com/thmb/1D71LVaZANfmtHoKdbMS08_K1KE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4138565-8da5900b557e4b87b4fa5031027914fd.jpg
223,Pear Pie,15 mins,45 mins,1 hrs,"1 (9 inch) unbaked pie crust, 3 cups sliced Bartlett pears, 1 cup sour cream, ½ cup white sugar, 2 tablespoons all-purpose flour, 1  egg, ½ teaspoon vanilla extract, ½ teaspoon salt","Preheat oven to 400 degrees F (200 degrees C). Press pie crust into a 9-inch pie dish.
Arrange pear slices in the pie crust. Stir sour cream, 1/2 cup sugar, 2 tablespoons flour, egg, vanilla extract, and salt together in a bowl; pour over pears.
Mix 1/2 cup flour, butter, 1/4 cup sugar, and cinnamon together in a bowl until topping resembles coarse crumbs.
Bake pie in the preheated oven for 35 minutes. Sprinkle topping onto pie and continue baking until topping is golden brown, about 10 more minutes.",4.8,/Desserts/Pies/Fruit Pies/Pear Pie Recipes/,"Total Fat 26g 33%, Saturated Fat 13g 66%, Cholesterol 66mg 22%, Sodium 369mg 16%, Total Carbohydrate 48g 17%, Dietary Fiber 3g 11%, Total Sugars 25g, Protein 5g, Vitamin C 3mg 15%, Calcium 53mg 4%, Iron 1mg 7%, Potassium 154mg 3%",https://www.allrecipes.com/thmb/1OpC8i9pAKJWprNyb2R8tJHEAZk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2597871-b7015a586c8346e0b291a65bf336549a.jpg
224,Pear Pie II,15 mins,50 mins,1 hrs 5 mins,"1 (9 inch) unbaked pie crust, 3  eggs, ⅓ cup all-purpose flour, 1 cup white sugar, 1 teaspoon almond extract, ¼ cup melted butter, 3  pears - peeled, cored and sliced","Preheat oven to 375 degrees F (190 degrees C.)
In a large bowl, combine eggs, flour, sugar, almond extract and melted butter. Pour into unbaked pie crust. Arrange sliced pears in spokes radiating from center.
Bake in the preheated oven for 15 minutes, then reduce temperature to 350 degrees F (175 degrees C) and bake for 25 to 35 minutes, or until custard is firm. Cool completely before serving.",4.4,/Desserts/Pies/Fruit Pies/Pear Pie Recipes/,"Total Fat 20g 26%, Saturated Fat 8g 41%, Cholesterol 113mg 38%, Sodium 247mg 11%, Total Carbohydrate 69g 25%, Dietary Fiber 5g 16%, Total Sugars 44g, Protein 6g, Vitamin C 4mg 22%, Calcium 29mg 2%, Iron 2mg 10%, Potassium 187mg 4%",https://www.allrecipes.com/thmb/Pn5zAQLFhmsLBZBwh_9AW3JqsG4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/481241-bdc084e3cab54ba18a80ae802608d015.jpg
225,Pear and Hazelnut Frangipane Tart,15 mins,50 mins,2 hrs 15 mins,"1 ¼ cups all-purpose flour (or gluten-free flour mix), 1 teaspoon sugar, ¼ teaspoon salt, 8 tablespoons cold unsalted butter, cut into 1/2-inch cubes, 3 tablespoons cold water, or more as needed ,   Reynolds® Parchment Paper,   Reynolds Wrap® Aluminum Foil","Combine the flour, sugar and salt in a food processor. Add the cold butter and pulse ten times until the butter is the size of large peas. Add 3 tablespoons of cold water and pulse until it comes together. Turn onto a lightly floured work surface and bring the dough together, forming a disk. Wrap in Reynolds® Parchment Paper and refrigerate for at least 45 minutes.
On a lightly floured work surface, roll the dough to 1/8-inch thickness. Fill a 9-inch tart mold or rectangle tart mold with the dough. Cut off excess from the top and refrigerate for another 15 minutes.
Preheat oven to 400 degrees F. Cover the top of the dough with Reynolds Wrap® Aluminum Foil and weigh down with pie weights or dry beans. Bake for 15 minutes. Remove the foil and pie weights and let cool.
Combine the hazelnuts and sugar in the food processor. Pulse to a fine powder. Add the butter, egg, flour, vanilla, rum and salt. Process until it comes together as a paste.
Spread the mixture over the partially baked tart. On the top, arrange the pear slices in a pattern. Bake the tart for 30 to 35 minutes until golden brown. Let it cool for 10 minutes before slicing.",5,/Desserts/,"Total Fat 31g 39%, Saturated Fat 15g 77%, Cholesterol 84mg 28%, Sodium 206mg 9%, Total Carbohydrate 46g 17%, Dietary Fiber 4g 13%, Total Sugars 20g, Protein 6g, Vitamin C 3mg 17%, Calcium 33mg 3%, Iron 2mg 11%, Potassium 194mg 4%",https://www.allrecipes.com/thmb/DdP5RZO0aDVvbe073M4PWRdswbI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2822093-8810754f3fcb40419f3fd01d5fe5f4f2.jpg
226,French Puff Pastry Tart with Pears and Chocolate,20 mins,30 mins,50 mins,"½ cup unsalted butter, ½ cup white sugar, 2 tablespoons white sugar, 1 cup blanched almond flour, 2  eggs, 1 sheet frozen puff pastry, thawed, 4 ounces milk chocolate, chopped, 3  pears - peeled, cored and sliced","Line a tart pan with parchment paper. Preheat the oven to 400 degrees F (200 degrees C).
Combine butter and 1/2 cup plus 2 tablespoons sugar in a large bowl; beat using an electric mixer until smooth and creamy. Mix in almond flour. Add eggs 1 at a time and mix until well combined.
Line a tart pan with the puff pastry and prick with a fork all over.
Place chocolate in the top of a double boiler over simmering water. Stir frequently, scraping down the sides with a rubber spatula to avoid scorching, until melted, about 5 minutes. Cool slightly. Cover puff pastry with melted chocolate.
Carefully pour egg mixture on top of the chocolate on the puff pastry without mixing the 2 layers. Arrange pear slices on top of the tart.
Bake in the preheated oven until pastry has puffed up and is golden brown, 25 to 30 minutes.",5,/Cuisine/European/French/,"Total Fat 36g 46%, Saturated Fat 14g 68%, Cholesterol 80mg 27%, Sodium 106mg 5%, Total Carbohydrate 51g 18%, Dietary Fiber 5g 16%, Total Sugars 30g, Protein 9g, Vitamin C 3mg 13%, Calcium 45mg 3%, Iron 1mg 8%, Potassium 165mg 4%",https://www.allrecipes.com/thmb/6rxJJd52wxPxR7w8RdjCC6dB_8w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5772017-a6f82629aff24d2e9508bd41062da5e9.jpg
227,Frangipane Pear Tart,30 mins,1 hrs 15 mins,2 hrs 15 mins,"4 cups water, 1 cup white sugar, 2 tablespoons honey, 1  vanilla bean, split lengthwise, 1  cinnamon stick, 5 pods cardamom, crushed, 4  Conference pears - peeled, halved, and cored","Combine water, 1 cup white sugar, honey, vanilla bean, cinnamon stick, and cardamom in a large saucepan. Bring to a simmer over medium heat. Add pears; reduce heat and simmer until pears are translucent or easily pierced with a knife, about 10 minutes. Remove from heat and cool to room temperature.
Combine 1 1/2 cup flour, confectioners' sugar, and salt in a bowl. Cut in 1/2 cup plus 1 tablespoon butter until mixture is crumbly. Mix in egg yolk until dough sticks together in large clumps.
Grease a 9-inch tart pan with a removable bottom. Press dough evenly into the pan. Freeze for 30 minutes. Reserve leftover dough for patching cracks.
Preheat oven to 375 degrees F (190 degrees C).
Grease the shiny side of a piece of aluminum foil with butter; place butter-side down over the pastry. Transfer tart pan to a baking sheet.
Bake in the preheated oven, using leftover dough to patch any cracks, until dough looks dry and light brown, about 20 minutes. Peel off aluminum foil; let pastry cool.
Reduce oven temperature to 350 degrees F (175 degrees C).
Combine 2/3 cup white sugar and 1/3 cup butter in a large bowl; beat with an electric mixer until light and fluffy. Mix in ground almonds. Add egg, egg yolk, 2 teaspoons flour, and cornstarch; beat until frangipane is smooth. Beat in almond extract and vanilla extract.
Spread frangipane evenly over the pastry. Drain pear halves and dry with paper towels. Cut lengthwise into even slices. Place 1 pear half on a spatula and gently fan out slices. Place on frangipane. Repeat with remaining pear halves.
Bake in the preheated oven until frangipane is firm to the touch, 40 to 45 minutes. Cool on a wire rack.",4.7,/Desserts/Pies/Tarts/Fruit Tart Recipes/,"Total Fat 24g 31%, Saturated Fat 14g 69%, Cholesterol 104mg 35%, Sodium 171mg 7%, Total Carbohydrate 94g 34%, Dietary Fiber 4g 15%, Total Sugars 66g, Protein 9g, Vitamin C 5mg 23%, Calcium 79mg 6%, Iron 2mg 13%, Potassium 330mg 7%",https://www.allrecipes.com/thmb/0RYtZ6H3YjGnxC3-naUAHG6zcSo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6332333-354566c466c3473b8cc2b46fbf1e18de.jpg
228,d'Anjou Pear and Almond Tarts,15 mins,45 mins,1 hrs,"18 (3 inch) unbaked tart shells, 7 tablespoons brown sugar, 2 tablespoons butter, melted, 1 teaspoon pear-flavored white balsamic vinegar, 1 teaspoon ground cinnamon, 3 large ripe d'Anjou pears - peeled, cored, and diced, 3 tablespoons chopped almonds","Preheat oven to 350 degrees F (175 degrees C). Place tart shells on a baking sheet.
Stir brown sugar, melted butter, balsamic vinegar, and cinnamon together in a bowl; stir in pears and chopped almonds until completely coated. Spoon pear mixture into tart shells.
Bake in the preheated oven until golden, about 45 minutes.",5,/Desserts/Pies/Tarts/Fruit Tart Recipes/,"Total Fat 8g 11%, Saturated Fat 2g 12%, Cholesterol 4mg 1%, Sodium 101mg 4%, Total Carbohydrate 30g 11%, Dietary Fiber 1g 5%, Total Sugars 14g, Protein 2g, Vitamin C 2mg 8%, Calcium 14mg 1%, Iron 1mg 4%, Potassium 57mg 1%",https://www.allrecipes.com/thmb/N-uoNEWcjOsrH-y2omC2Q4lRWu0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2144568-f4c929cac211468bae2bbe3865ebf6ba.jpg
229,Creamy Pear Pie,20 mins,55 mins,1 hrs 15 mins,"⅓ cup white sugar, 2 tablespoons all-purpose flour, 4 cups peeled and sliced pears, 1 cup sour cream, ½ teaspoon vanilla extract, ½ teaspoon lemon extract, ½ teaspoon almond extract, 1 (9 inch) unbaked pie shell","Preheat the oven to 400 degrees F (200 degrees C).
In a large bowl, stir together the white sugar and 2 tablespoons flour. Add pears, and toss to coat. Stir in the sour cream and vanilla, lemon and almond extracts until the pears are evenly coated. Pour into the unbaked pie shell.
In a small bowl, mix together 1/4 cup flour and brown sugar. Mix in the butter with your fingers until the mixture is crumbly. Sprinkle evenly over the top of the pie.
Bake for 10 minutes in the preheated oven, then reduce the temperature to 350 degrees F (175 degrees C). Bake for an additional 45 minutes, or until pears are tender.",4.4,/Desserts/Pies/Fruit Pies/Pear Pie Recipes/,"Total Fat 17g 21%, Saturated Fat 7g 37%, Cholesterol 20mg 7%, Sodium 155mg 7%, Total Carbohydrate 40g 15%, Dietary Fiber 4g 13%, Total Sugars 20g, Protein 3g, Vitamin C 4mg 19%, Calcium 48mg 4%, Iron 1mg 6%, Potassium 166mg 4%",https://www.allrecipes.com/thmb/DXLdk0i5ifjWVGo5B6hAFI7o0QY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1088180-353550eaa56043299622e8d6c453efce.jpg
